County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Warren,Harmony,23,7,2,0,0,-,-,0,5,2,-,-,"1,208","1,292","1,327",-,-,"221,510","216,766","230,187","228,994","228,994",91.7,91.7,91.7,91.7,91.7,89.18,89.18,89.18,89.18,89.18
Ocean,Lacey,9,3,95,94,70,-,-,57,92,86,-,-,"1,335","1,327","1,313",-,-,"288,615","276,910","278,043","270,687","270,687",87.99,87.99,87.99,87.99,87.99,89.05,89.05,89.05,89.05,89.05
Warren,Frelinghuysen,24,5,1,0,2,-,-,0,2,2,-,-,"1,338","1,408","1,612",-,-,"317,798","314,062","297,366","298,689","298,689",92.01,92.01,92.01,92.01,92.01,90.79,90.79,90.79,90.79,90.79
Union,Clark,22,7,80,204,20,-,-,4,66,202,-,-,"1,304","1,313","1,276",-,-,"390,345","392,921","407,974","423,951","423,951",96.71,96.71,96.71,96.71,96.71,82.06,82.06,82.06,82.06,82.06
Ocean,Jackson,12,4,40,67,220,-,-,42,46,78,-,-,"1,414","1,327","1,295",-,-,"317,323","319,386","326,141","338,320","338,320",95.45,95.45,95.45,95.45,95.45,87.17,87.17,87.17,87.17,87.17
Warren,Greenwich,23,7,0,3,0,-,-,0,0,0,-,-,"1,047","1,350","1,241",-,-,"301,061","315,062","311,344","309,017","309,017",96.68,96.68,96.68,96.68,96.68,92.59,92.59,92.59,92.59,92.59
Union,Fanwood,22,12,43,15,19,-,-,6,4,54,-,-,"1,386","1,446","1,888",-,-,"404,093","404,339","424,239","436,057","436,057",97.8,97.8,97.8,97.8,97.8,89.3,89.3,89.3,89.3,89.3
Ocean,Island Heights,10,3,3,1,11,-,-,2,2,4,-,-,"1,345","1,411","1,477",-,-,"383,105","381,280","387,503","364,398","364,398",82.19,82.19,82.19,82.19,82.19,86.82,86.82,86.82,86.82,86.82
Warren,Alpha,23,7,0,0,0,-,-,0,0,0,-,-,"1,028","1,053","1,045",-,-,"177,157","168,988","180,349","181,665","181,665",93.41,93.41,93.41,93.41,93.41,72.1,72.1,72.1,72.1,72.1
Warren,Blairstown,24,5,2,1,2,-,-,3,2,3,-,-,"1,171","1,173","1,262",-,-,"293,729","296,637","297,637","293,135","293,135",93.49,93.49,93.49,93.49,93.49,87.85,87.85,87.85,87.85,87.85
