County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Bergen,Midland Park,40,5,0,7,1,-,-,0,1,1,-,-,"1,501","1,452","1,421",-,-,"416,209","424,778","436,678","453,779","453,779",96.33,96.33,96.33,96.33,96.33,70.43,70.43,70.43,70.43,70.43
Bergen,Moonachie,36,9,4,1,0,-,-,2,2,1,-,-,911,953,993,-,-,"424,769","413,953","451,419","382,184","382,184",95.44,95.44,95.44,95.44,95.44,76.22,76.22,76.22,76.22,76.22
Bergen,New Milford,38,5,15,3,4,-,-,8,7,9,-,-,"1,159","1,173","1,219",-,-,"354,757","364,021","374,265","375,257","375,257",96.53,96.53,96.53,96.53,96.53,63.61,63.61,63.61,63.61,63.61
Bergen,Northvale,37,5,1,8,41,-,-,2,8,6,-,-,"1,294","1,427","1,450",-,-,"417,453","411,925","427,317","423,354","423,354",95.66,95.66,95.66,95.66,95.66,81.14,81.14,81.14,81.14,81.14
Monmouth,West Long Branch,11,6,18,6,2,-,-,0,8,12,-,-,"1,157","1,014","1,300",-,-,"425,177","415,660","427,829","445,253","445,253",94.3,94.3,94.3,94.3,94.3,81.42,81.42,81.42,81.42,81.42
Morris,Boonton Twp,25,11,4,8,4,-,-,4,2,7,-,-,"1,888","2,100","1,987",-,-,"570,759","568,854","564,164","550,983","550,983",95.63,95.63,95.63,95.63,95.63,86.03,86.03,86.03,86.03,86.03
Mercer,Princeton (as of 1/1/2013),16,12,518,21,369,-,-,2,75,169,-,-,"1,253","1,344","1,291",-,-,"852,855","867,901","888,341","909,245","909,245",92.42,92.42,92.42,92.42,92.42,60.28,60.28,60.28,60.28,60.28
Monmouth,Shrewsbury Twp,11,4,0,0,0,-,-,0,0,0,-,-,"1,199","1,201","1,168",-,-,"161,033","153,267","149,668","158,342","158,342",89.97,89.97,89.97,89.97,89.97,49.06,49.06,49.06,49.06,49.06
Atlantic,Corbin City,1,2,1,1,2,-,-,2,0,1,-,-,"1,278","1,273","1,211",-,-,"198,274","197,358","194,838","198,025","198,025",87.26,87.26,87.26,87.26,87.26,87.03,87.03,87.03,87.03,87.03
Monmouth,Spring Lake Heights,30,4,3,6,8,-,-,6,3,6,-,-,"1,367","1,401","1,429",-,-,"436,414","442,321","468,697","472,963","472,963",77.93,77.93,77.93,77.93,77.93,62.18,62.18,62.18,62.18,62.18
Monmouth,Union Beach,13,6,72,70,41,-,-,10,19,41,-,-,"1,496","1,635","1,691",-,-,"223,841","211,833","219,051","226,004","226,004",94.45,94.45,94.45,94.45,94.45,84.79,84.79,84.79,84.79,84.79
Atlantic,Folsom,2,2,2,1,0,-,-,1,1,1,-,-,"1,423","1,564","1,432",-,-,"202,120","185,694","185,064","193,755","193,755",95.96,95.96,95.96,95.96,95.96,87.94,87.94,87.94,87.94,87.94
Monmouth,Upper Freehold,12,4,8,14,13,-,-,9,11,7,-,-,"1,196","1,206","1,402",-,-,"454,625","463,319","478,334","473,755","473,755",96.14,96.14,96.14,96.14,96.14,93.02,93.02,93.02,93.02,93.02
Atlantic,Egg Harbor,2,2,14,110,0,-,-,13,11,0,-,-,"1,259","1,013",957,-,-,"150,006","132,473","145,117","144,557","144,557",91.76,91.76,91.76,91.76,91.76,59.26,59.26,59.26,59.26,59.26
Passaic,Pompton Lakes,40,11,0,1,7,-,-,3,2,4,-,-,"1,335","1,377","1,367",-,-,"262,838","261,933","258,491","261,932","261,932",96.52,96.52,96.52,96.52,96.52,78.47,78.47,78.47,78.47,78.47
Passaic,North Haledon,35,11,0,0,0,-,-,0,0,0,-,-,"1,488","1,569","1,370",-,-,"411,806","415,349","413,814","420,510","420,510",97.2,97.2,97.2,97.2,97.2,86.58,86.58,86.58,86.58,86.58
Passaic,Wayne,40,11,21,16,6,-,-,32,10,12,-,-,"1,391","1,408","1,443",-,-,"417,211","411,716","417,389","437,943","437,943",96.76,96.76,96.76,96.76,96.76,80.12,80.12,80.12,80.12,80.12
Passaic,Ringwood,39,5,2,4,3,-,-,0,1,5,-,-,"1,901","1,904","1,817",-,-,"335,355","335,551","336,244","334,432","334,432",96.56,96.56,96.56,96.56,96.56,95.03,95.03,95.03,95.03,95.03
Ocean,Surf City,9,2,25,23,26,-,-,14,21,21,-,-,"1,275","1,068","1,125",-,-,"731,571","726,640","741,710","761,008","761,008",24.24,24.24,24.24,24.24,24.24,78.78,78.78,78.78,78.78,78.78
Ocean,Seaside Heights,10,3,3,0,1,-,-,0,2,16,-,-,"1,065","1,251","1,258",-,-,"235,761","227,684","227,319","227,249","227,249",45.82,45.82,45.82,45.82,45.82,22.97,22.97,22.97,22.97,22.97
Passaic,Haledon,35,9,18,0,0,-,-,0,0,0,-,-,"1,189","1,195","1,282",-,-,"259,676","241,016","234,248","242,153","242,153",94.75,94.75,94.75,94.75,94.75,48.67,48.67,48.67,48.67,48.67
Passaic,Bloomingdale,39,11,169,0,1,-,-,134,42,1,-,-,"1,360","1,386","1,387",-,-,"268,236","276,085","276,341","288,724","288,724",95.01,95.01,95.01,95.01,95.01,72.81,72.81,72.81,72.81,72.81
Salem,Elmer,3,2,1,1,0,-,-,1,2,0,-,-,"1,155","1,100","1,069",-,-,"169,379","159,165","170,721","170,644","170,644",92.89,92.89,92.89,92.89,92.89,67.91,67.91,67.91,67.91,67.91
Salem,Mannington,3,2,0,3,0,-,-,0,0,1,-,-,"1,302","1,179","1,139",-,-,"156,523","160,265","167,762","163,916","163,916",91.22,91.22,91.22,91.22,91.22,80.56,80.56,80.56,80.56,80.56
Hunterdon,Lebanon Twp,23,7,3,4,5,-,-,1,4,4,-,-,"1,334","1,322",968,-,-,"346,923","353,092","366,163","367,362","367,362",94.14,94.14,94.14,94.14,94.14,88.02,88.02,88.02,88.02,88.02
Hunterdon,Raritan Twp,16,7,30,41,41,-,-,32,41,33,-,-,"1,399","1,494","1,397",-,-,"383,892","389,043","400,381","410,626","410,626",97.2,97.2,97.2,97.2,97.2,88.7,88.7,88.7,88.7,88.7
Hunterdon,Kingwood,23,7,4,5,2,-,-,3,4,8,-,-,"1,308","2,100","2,026",-,-,"360,788","365,542","352,141","358,552","358,552",92.16,92.16,92.16,92.16,92.16,84.85,84.85,84.85,84.85,84.85
Hunterdon,Lebanon,23,7,0,0,0,-,-,0,0,0,-,-,"1,663","1,821","1,853",-,-,"268,390","270,611","267,733","276,316","276,316",90.66,90.66,90.66,90.66,90.66,70.93,70.93,70.93,70.93,70.93
Hunterdon,West Amwell,15,7,3,3,5,-,-,4,3,4,-,-,"1,172","1,189","1,230",-,-,"381,327","400,569","394,584","384,300","384,300",95.25,95.25,95.25,95.25,95.25,86.57,86.57,86.57,86.57,86.57
Hunterdon,Readington,16,7,10,59,54,-,-,30,19,33,-,-,"1,442","1,566","1,599",-,-,"414,968","406,768","423,794","442,089","442,089",96.45,96.45,96.45,96.45,96.45,89.65,89.65,89.65,89.65,89.65
Hunterdon,Tewksbury,23,7,4,6,3,-,-,8,3,8,-,-,"1,115","1,116",-,-,-,"654,001","647,101","650,030","660,089","660,089",94.23,94.23,94.23,94.23,94.23,91.41,91.41,91.41,91.41,91.41
Hunterdon,Hampton Boro,23,7,1,1,0,-,-,0,1,1,-,-,"1,023","1,054","1,046",-,-,"255,663","250,969","235,914","234,941","234,941",93.14,93.14,93.14,93.14,93.14,68.6,68.6,68.6,68.6,68.6
Hunterdon,High Bridge,23,7,1,7,12,-,-,0,0,0,-,-,"1,357","1,409","1,413",-,-,"244,014","249,110","248,307","246,895","246,895",95.75,95.75,95.75,95.75,95.75,83.71,83.71,83.71,83.71,83.71
Hunterdon,Frenchtown,23,7,1,4,3,-,-,1,0,3,-,-,"1,183","1,193","1,162",-,-,"266,215","286,320","300,947","283,974","283,974",90.85,90.85,90.85,90.85,90.85,58.39,58.39,58.39,58.39,58.39
Camden,Tavistock,6,1,0,0,0,-,-,0,0,0,-,-,0,-,-,-,-,"1,540,379","1,528,333","1,691,249","1,705,672","1,705,672",100,100,100,100,100,66.67,66.67,66.67,66.67,66.67
Camden,Winslow,4,1,0,0,0,-,-,0,2,0,-,-,"1,176","1,229","1,234",-,-,"171,327","175,386","175,202","173,144","173,144",94.33,94.33,94.33,94.33,94.33,81.47,81.47,81.47,81.47,81.47
Camden,Pine Hill,8,1,24,10,3,-,-,3,23,11,-,-,945,966,966,-,-,"138,651","135,067","133,111","135,428","135,428",93.78,93.78,93.78,93.78,93.78,63.04,63.04,63.04,63.04,63.04
Camden,Somerdale,6,1,51,43,26,-,-,42,38,40,-,-,853,893,893,-,-,"142,826","141,406","140,843","142,227","142,227",93.88,93.88,93.88,93.88,93.88,73.64,73.64,73.64,73.64,73.64
Cape May,Stone Harbor,1,2,46,36,26,-,-,29,44,32,-,-,"1,120","1,159","1,206",-,-,"1,318,838","1,297,496","1,336,920","1,397,268","1,397,268",13.58,13.58,13.58,13.58,13.58,83.45,83.45,83.45,83.45,83.45
Cape May,Lower Township,1,2,22,28,19,-,-,21,20,23,-,-,"1,079","1,110","1,096",-,-,"236,326","235,241","238,995","239,982","239,982",66.03,66.03,66.03,66.03,66.03,79.12,79.12,79.12,79.12,79.12
Cape May,Ocean City,1,2,275,273,244,-,-,164,271,241,-,-,"1,001","1,076","1,021",-,-,"601,456","603,281","606,268","621,698","621,698",28.22,28.22,28.22,28.22,28.22,61.83,61.83,61.83,61.83,61.83
Cumberland,Hopewell,1,2,0,1,3,-,-,0,0,2,-,-,685,870,871,-,-,"167,100","152,036","153,712","162,241","162,241",95.46,95.46,95.46,95.46,95.46,82.79,82.79,82.79,82.79,82.79
Cumberland,Commercial,1,2,3,2,3,-,-,2,0,1,-,-,"1,075","1,079","1,106",-,-,"97,277","91,025","88,146","92,170","92,170",88.89,88.89,88.89,88.89,88.89,73.19,73.19,73.19,73.19,73.19
Cape May,Wildwood Crest,1,2,0,0,3,-,-,5,0,0,-,-,998,930,"1,050",-,-,"357,256","361,192","358,555","361,490","361,490",27.51,27.51,27.51,27.51,27.51,65.99,65.99,65.99,65.99,65.99
Cape May,West Cape May,1,2,9,10,18,-,-,7,5,8,-,-,"1,168",997,"1,091",-,-,"424,096","410,919","420,167","451,789","451,789",47.27,47.27,47.27,47.27,47.27,79.11,79.11,79.11,79.11,79.11
Burlington,Springfield,8,3,0,0,4,-,-,0,0,2,-,-,"1,024","1,158","1,200",-,-,"286,146","279,309","286,953","300,458","300,458",95.48,95.48,95.48,95.48,95.48,91.39,91.39,91.39,91.39,91.39
Burlington,Westampton,8,3,0,48,2,-,-,1,0,0,-,-,"2,100","1,854","1,828",-,-,"236,535","227,342","241,699","255,453","255,453",97.08,97.08,97.08,97.08,97.08,92.18,92.18,92.18,92.18,92.18
Burlington,Woodland,8,3,1,0,1,-,-,2,0,1,-,-,"1,125","1,261","1,283",-,-,"216,564","227,439","231,788","245,629","245,629",96.36,96.36,96.36,96.36,96.36,87.82,87.82,87.82,87.82,87.82
Camden,Berlin,8,1,1,0,4,-,-,4,0,3,-,-,886,948,942,-,-,"232,285","231,057","229,634","232,350","232,350",95.15,95.15,95.15,95.15,95.15,80.97,80.97,80.97,80.97,80.97
Camden,Brooklawn,5,1,0,0,0,-,-,0,0,0,-,-,"1,077","1,192","1,158",-,-,"122,040","116,005","112,520","112,189","112,189",94.17,94.17,94.17,94.17,94.17,77.08,77.08,77.08,77.08,77.08
Camden,Chesilhurst,4,1,0,2,1,-,-,2,2,1,-,-,"1,273","1,262","1,000",-,-,"151,347","163,131","154,993","156,700","156,700",93.72,93.72,93.72,93.72,93.72,80.58,80.58,80.58,80.58,80.58
Camden,Gibbsboro,6,1,0,0,0,-,-,0,0,0,-,-,"1,096","1,417","1,559",-,-,"219,050","211,859","213,916","202,517","202,517",97.16,97.16,97.16,97.16,97.16,92.37,92.37,92.37,92.37,92.37
Camden,Gloucester Twp,4,1,0,0,0,-,-,1,0,0,-,-,"1,131","1,148","1,132",-,-,"181,633","177,676","183,809","183,621","183,621",95.37,95.37,95.37,95.37,95.37,75.56,75.56,75.56,75.56,75.56
Camden,Haddonfield,6,1,7,13,11,-,-,4,8,10,-,-,"1,265","1,206","1,327",-,-,"464,407","469,780","488,174","493,964","493,964",95.73,95.73,95.73,95.73,95.73,82.37,82.37,82.37,82.37,82.37
Camden,Oaklyn,6,1,0,0,0,-,-,0,0,0,-,-,798,821,848,-,-,"178,278","181,101","179,331","173,636","173,636",93.39,93.39,93.39,93.39,93.39,70.03,70.03,70.03,70.03,70.03
Camden,Magnolia,5,1,0,0,0,-,-,0,0,0,-,-,968,954,927,-,-,"143,308","141,199","145,805","147,460","147,460",92.43,92.43,92.43,92.43,92.43,73.45,73.45,73.45,73.45,73.45
Burlington,Riverton,7,3,0,2,0,-,-,0,0,0,-,-,960,"1,006","1,071",-,-,"261,916","259,837","267,753","279,221","279,221",95.05,95.05,95.05,95.05,95.05,78.24,78.24,78.24,78.24,78.24
Burlington,Pemberton,8,3,0,0,0,-,-,0,0,0,-,-,952,961,977,-,-,"199,578","202,384","199,737","198,931","198,931",90.5,90.5,90.5,90.5,90.5,66.61,66.61,66.61,66.61,66.61
Burlington,Riverside,7,3,0,0,0,-,-,1,1,0,-,-,"1,104","1,125","1,136",-,-,"147,700","145,648","145,865","149,053","149,053",94.03,94.03,94.03,94.03,94.03,65.6,65.6,65.6,65.6,65.6
Burlington,North Hanover,12,3,1,0,2,-,-,3,1,1,-,-,"1,672","1,755","1,800",-,-,"300,242","293,298","301,002","301,806","301,806",82.61,82.61,82.61,82.61,82.61,51.36,51.36,51.36,51.36,51.36
Burlington,Palmyra,7,1,2,0,0,-,-,2,0,0,-,-,"1,126","1,157","1,181",-,-,"164,129","167,377","159,607","156,781","156,781",93.04,93.04,93.04,93.04,93.04,74.21,74.21,74.21,74.21,74.21
Burlington,Mount Laurel,7,3,37,11,21,-,-,70,65,29,-,-,"1,442","1,423","1,445",-,-,"269,844","251,648","258,770","257,734","257,734",96.1,96.1,96.1,96.1,96.1,83.6,83.6,83.6,83.6,83.6
Burlington,New Hanover,12,3,1,2,7,-,-,1,3,3,-,-,"2,100","2,100","2,147",-,-,"198,538","232,134","238,588","250,912","250,912",89.89,89.89,89.89,89.89,89.89,39.75,39.75,39.75,39.75,39.75
Burlington,Medford,8,3,70,92,88,-,-,45,67,73,-,-,"1,366","1,390","1,337",-,-,"347,915","345,372","358,635","358,443","358,443",95.67,95.67,95.67,95.67,95.67,85.67,85.67,85.67,85.67,85.67
Burlington,Mount Holly,8,3,79,212,30,-,-,0,69,99,-,-,"1,085","1,108","1,085",-,-,"157,522","158,954","159,182","159,819","159,819",89.51,89.51,89.51,89.51,89.51,67.04,67.04,67.04,67.04,67.04
Burlington,Southampton,8,3,2,1,2,-,-,1,2,3,-,-,"1,011","1,147","1,174",-,-,"203,554","203,142","205,009","208,511","208,511",94.47,94.47,94.47,94.47,94.47,91.89,91.89,91.89,91.89,91.89
Burlington,Shamong,8,3,2,0,7,-,-,1,2,4,-,-,"1,478","1,482",959,-,-,"322,250","328,161","322,051","324,599","324,599",97.35,97.35,97.35,97.35,97.35,95.8,95.8,95.8,95.8,95.8
Burlington,Medford Lakes,8,3,2,2,3,-,-,1,0,3,-,-,"2,100","1,961","1,953",-,-,"292,897","289,704","286,020","288,191","288,191",96.11,96.11,96.11,96.11,96.11,94.27,94.27,94.27,94.27,94.27
Hunterdon,Union Twp,23,7,1,5,2,-,-,0,1,4,-,-,"1,375","1,434","1,508",-,-,"347,191","350,967","352,402","352,513","352,513",95.74,95.74,95.74,95.74,95.74,89.78,89.78,89.78,89.78,89.78
Hunterdon,Stockton,16,7,0,0,0,-,-,0,0,0,-,-,"1,469","1,588","1,484",-,-,"358,601","365,127","372,324","373,717","373,717",91.51,91.51,91.51,91.51,91.51,74.68,74.68,74.68,74.68,74.68
Hunterdon,Lambertville,15,7,3,2,5,-,-,3,3,4,-,-,"1,289","1,212","1,211",-,-,"357,145","353,776","367,007","382,841","382,841",94.36,94.36,94.36,94.36,94.36,61.7,61.7,61.7,61.7,61.7
Mercer,Lawrence,15,12,5,8,2,-,-,5,2,1,-,-,"1,401","1,403","1,406",-,-,"307,132","298,255","310,256","311,848","311,848",94.6,94.6,94.6,94.6,94.6,68.6,68.6,68.6,68.6,68.6
Mercer,Trenton,15,12,148,1,0,-,-,7,136,0,-,-,972,991,956,-,-,"72,936","74,974","72,191","74,165","74,165",86.51,86.51,86.51,86.51,86.51,38.33,38.33,38.33,38.33,38.33
Mercer,Ewing,15,12,0,4,116,-,-,29,35,29,-,-,"1,154","1,182","1,174",-,-,"182,345","183,185","180,116","182,078","182,078",94.58,94.58,94.58,94.58,94.58,69.55,69.55,69.55,69.55,69.55
Mercer,Hightstown,14,12,5,0,0,-,-,1,1,1,-,-,983,"1,127","1,305",-,-,"228,749","225,435","224,664","222,831","222,831",93.74,93.74,93.74,93.74,93.74,63.92,63.92,63.92,63.92,63.92
Middlesex,Highland Park,18,6,2,26,56,-,-,1,0,20,-,-,"1,261","1,268","1,287",-,-,"331,724","325,453","327,869","318,401","318,401",94.71,94.71,94.71,94.71,94.71,41.17,41.17,41.17,41.17,41.17
Middlesex,Middlesex Borough,22,12,4,1,5,-,-,15,2,2,-,-,"1,244","1,283","1,314",-,-,"262,262","262,498","264,354","273,367","273,367",96.81,96.81,96.81,96.81,96.81,74.84,74.84,74.84,74.84,74.84
Middlesex,Carteret,19,6,0,0,0,-,-,0,0,0,-,-,"1,260","1,289","1,289",-,-,"210,788","237,956","233,781","267,641","267,641",93.16,93.16,93.16,93.16,93.16,60.58,60.58,60.58,60.58,60.58
Middlesex,East Brunswick,18,12,28,447,15,-,-,2,11,66,-,-,"1,311","1,388","1,316",-,-,"358,194","352,841","351,152","356,853","356,853",96.79,96.79,96.79,96.79,96.79,85.25,85.25,85.25,85.25,85.25
Hudson,Bayonne,31,"8, 10",297,34,64,-,-,58,213,37,-,-,"1,101","1,133","1,137",-,-,"290,868","301,809","299,163","309,982","309,982",90.78,90.78,90.78,90.78,90.78,38.8,38.8,38.8,38.8,38.8
Gloucester,Woodbury Heights,3,1,2,0,0,-,-,0,2,0,-,-,"1,136","1,375","1,274",-,-,"180,033","182,284","184,804","184,703","184,703",96.09,96.09,96.09,96.09,96.09,91.12,91.12,91.12,91.12,91.12
Hudson,Jersey City,"31, 33","8, 10","1,689","3,747","2,649",-,-,568,190,950,-,-,"1,174","1,187","1,198",-,-,"293,748","304,659","327,628","381,915","381,915",89.09,89.09,89.09,89.09,89.09,29.52,29.52,29.52,29.52,29.52
Hudson,Harrison,32,8,19,466,310,-,-,21,162,32,-,-,"1,210","1,195","1,213",-,-,"300,018","331,225","372,900","393,239","393,239",93.13,93.13,93.13,93.13,93.13,30.48,30.48,30.48,30.48,30.48
Hudson,Secaucus,32,9,19,327,72,-,-,22,284,38,-,-,"1,475","1,502","1,599",-,-,"321,729","290,430","293,145","314,477","314,477",91.98,91.98,91.98,91.98,91.98,60.36,60.36,60.36,60.36,60.36
Hunterdon,Bethlehem,23,7,0,2,0,-,-,3,1,2,-,-,983,"1,125","1,420",-,-,"372,858","375,783","377,539","372,221","372,221",96.97,96.97,96.97,96.97,96.97,95.24,95.24,95.24,95.24,95.24
Hunterdon,Clinton,23,7,0,62,0,-,-,2,0,2,-,-,"1,204","1,173","1,164",-,-,"329,898","333,262","332,968","339,195","339,195",96.27,96.27,96.27,96.27,96.27,75.12,75.12,75.12,75.12,75.12
Hunterdon,Delaware,16,7,4,2,1,-,-,6,2,1,-,-,"1,792","1,667","1,206",-,-,"436,134","435,489","455,454","436,336","436,336",92.79,92.79,92.79,92.79,92.79,86.74,86.74,86.74,86.74,86.74
Hunterdon,Franklin Twp,23,7,2,6,3,-,-,1,2,5,-,-,"1,248","1,333","1,097",-,-,"456,648","435,287","434,766","431,771","431,771",94.44,94.44,94.44,94.44,94.44,89.62,89.62,89.62,89.62,89.62
Hunterdon,Glen Gardner,23,7,0,1,0,-,-,0,1,0,-,-,"1,203","1,160","1,156",-,-,"206,716","204,101","202,792","204,019","204,019",93.09,93.09,93.09,93.09,93.09,74.09,74.09,74.09,74.09,74.09
Hunterdon,Holland,23,7,1,3,3,-,-,2,1,1,-,-,"1,344","1,173","1,281",-,-,"304,762","295,765","295,274","297,086","297,086",95.45,95.45,95.45,95.45,95.45,92.14,92.14,92.14,92.14,92.14
Gloucester,Paulsboro,3,1,1,0,1,-,-,0,0,0,-,-,936,889,994,-,-,"116,620","109,893","106,620","107,986","107,986",90.25,90.25,90.25,90.25,90.25,58.92,58.92,58.92,58.92,58.92
Gloucester,Newfield,3,2,0,0,0,-,-,0,0,1,-,-,937,"1,028","1,111",-,-,"183,859","163,861","164,112","164,688","164,688",92.49,92.49,92.49,92.49,92.49,82.04,82.04,82.04,82.04,82.04
Gloucester,National Park,3,1,0,0,0,-,-,0,1,0,-,-,"1,293","1,197","1,032",-,-,"139,293","136,245","129,664","134,859","134,859",94.71,94.71,94.71,94.71,94.71,83.15,83.15,83.15,83.15,83.15
Gloucester,Monroe,4,1,124,37,28,-,-,80,87,34,-,-,976,965,"1,020",-,-,"201,249","191,775","198,285","198,403","198,403",95.73,95.73,95.73,95.73,95.73,83.32,83.32,83.32,83.32,83.32
Gloucester,Logan,3,1,0,0,0,-,-,1,0,0,-,-,"1,534","1,172","1,188",-,-,"206,231","206,400","203,509","212,530","212,530",96.09,96.09,96.09,96.09,96.09,92.72,92.72,92.72,92.72,92.72
Gloucester,West Deptford,3,1,8,13,6,-,-,4,12,9,-,-,"1,064","1,081","1,080",-,-,"206,058","201,246","203,553","201,295","201,295",93.52,93.52,93.52,93.52,93.52,72.34,72.34,72.34,72.34,72.34
Gloucester,Westville,5,1,1,0,0,-,-,0,0,0,-,-,907,797,889,-,-,"126,060","131,440","131,320","131,387","131,387",91.79,91.79,91.79,91.79,91.79,64.79,64.79,64.79,64.79,64.79
Gloucester,Washington Twp,4,1,2,0,0,-,-,1,0,0,-,-,"1,114","1,138","1,163",-,-,"221,953","220,500","221,936","224,514","224,514",97.06,97.06,97.06,97.06,97.06,83.7,83.7,83.7,83.7,83.7
Gloucester,Wenonah,5,1,1,0,0,-,-,0,0,1,-,-,"1,090","1,047","1,013",-,-,"287,497","276,925","267,282","264,726","264,726",96.4,96.4,96.4,96.4,96.4,90.35,90.35,90.35,90.35,90.35
Gloucester,South Harrison,3,2,0,0,0,-,-,1,0,0,-,-,"1,510","1,558",390,-,-,"321,735","333,711","329,987","335,372","335,372",96.59,96.59,96.59,96.59,96.59,95,95,95,95,95
Gloucester,Swedesboro,3,2,3,2,1,-,-,3,3,1,-,-,"1,331","1,327","1,233",-,-,"177,188","172,237","174,380","173,540","173,540",93.43,93.43,93.43,93.43,93.43,65.14,65.14,65.14,65.14,65.14
Essex,Millburn,27,7,72,28,43,-,-,45,58,37,-,-,"1,547","1,597","1,633",-,-,"1,143,021","1,232,112","1,251,754","1,287,281","1,287,281",95.88,95.88,95.88,95.88,95.88,82.02,82.02,82.02,82.02,82.02
Essex,Irvington,28,10,0,6,0,-,-,18,9,2,-,-,963,972,969,-,-,"206,003","161,562","146,509","147,569","147,569",86.62,86.62,86.62,86.62,86.62,28.69,28.69,28.69,28.69,28.69
Cumberland,Upper Deerfield,3,2,6,1,1,-,-,3,2,1,-,-,"1,080","1,051","1,131",-,-,"171,048","174,887","170,522","165,839","165,839",94.74,94.74,94.74,94.74,94.74,76.9,76.9,76.9,76.9,76.9
Cumberland,Millville,1,2,11,10,20,-,-,12,12,15,-,-,872,910,938,-,-,"145,727","133,893","136,486","134,836","134,836",93.12,93.12,93.12,93.12,93.12,61.84,61.84,61.84,61.84,61.84
Essex,Cedar Grove,40,11,4,6,4,-,-,3,28,2,-,-,"1,453","1,414","1,419",-,-,"465,893","468,354","486,114","479,259","479,259",97.04,97.04,97.04,97.04,97.04,80.04,80.04,80.04,80.04,80.04
Essex,Belleville,29,8,17,86,10,-,-,4,1,9,-,-,"1,187","1,190","1,173",-,-,"251,076","245,740","247,244","239,625","239,625",93.49,93.49,93.49,93.49,93.49,53.32,53.32,53.32,53.32,53.32
Essex,Roseland,27,11,1,6,2,-,-,7,3,5,-,-,"1,867","1,875","1,933",-,-,"493,964","502,486","494,078","499,576","499,576",96.42,96.42,96.42,96.42,96.42,79.91,79.91,79.91,79.91,79.91
Essex,Verona,26,11,7,43,3,-,-,6,18,27,-,-,"1,310","1,306","1,361",-,-,"390,830","398,701","412,472","425,519","425,519",96.23,96.23,96.23,96.23,96.23,80.02,80.02,80.02,80.02,80.02
Gloucester,Clayton,3,2,52,55,69,-,-,34,58,88,-,-,"1,030","1,087","1,028",-,-,"158,685","151,749","152,846","152,990","152,990",93.22,93.22,93.22,93.22,93.22,78.33,78.33,78.33,78.33,78.33
Gloucester,Glassboro,3,1,66,67,343,-,-,65,58,172,-,-,954,959,957,-,-,"180,311","174,529","181,623","181,644","181,644",93.44,93.44,93.44,93.44,93.44,65.26,65.26,65.26,65.26,65.26
Essex,North Caldwell,26,11,77,25,7,-,-,53,45,19,-,-,887,-,-,-,-,"705,166","714,077","734,067","747,181","747,181",98.03,98.03,98.03,98.03,98.03,96.8,96.8,96.8,96.8,96.8
Bergen,Woodcliff Lake,39,5,5,5,3,-,-,6,16,3,-,-,"2,100","2,100","3,420",-,-,"736,270","768,566","763,950","732,031","732,031",96.77,96.77,96.77,96.77,96.77,90.71,90.71,90.71,90.71,90.71
Sussex,Andover Twp,24,5,0,0,1,-,-,1,0,1,-,-,"2,100","1,987","1,740",-,-,"280,153","271,183","271,477","269,330","269,330",94.91,94.91,94.91,94.91,94.91,89.03,89.03,89.03,89.03,89.03
Bergen,Wood-Ridge,36,9,4,215,135,-,-,1,58,156,-,-,"1,639","1,614","1,627",-,-,"349,328","343,656","336,013","331,704","331,704",96.33,96.33,96.33,96.33,96.33,78.02,78.02,78.02,78.02,78.02
Somerset,Watchung,21,7,6,26,8,-,-,10,7,9,-,-,"2,100","2,100","2,027",-,-,"642,867","666,518","669,213","686,083","686,083",94.63,94.63,94.63,94.63,94.63,82.07,82.07,82.07,82.07,82.07
Bergen,Washington Twp,39,5,2,1,2,-,-,3,2,0,-,-,"2,100","2,100","2,334",-,-,"487,768","488,657","498,673","498,884","498,884",97.61,97.61,97.61,97.61,97.61,95.37,95.37,95.37,95.37,95.37
Bergen,Waldwick,40,5,21,18,1,-,-,10,29,9,-,-,"1,641","1,742","1,893",-,-,"399,125","407,559","405,692","415,216","415,216",96.69,96.69,96.69,96.69,96.69,88.04,88.04,88.04,88.04,88.04
Sussex,Green,24,5,4,5,7,-,-,2,7,2,-,-,"1,443","1,338","1,364",-,-,"341,589","343,504","334,905","341,359","341,359",94.4,94.4,94.4,94.4,94.4,93.48,93.48,93.48,93.48,93.48
Sussex,Fredon,24,5,0,0,1,-,-,1,0,0,-,-,"1,245","1,342","1,370",-,-,"340,788","333,935","323,846","324,759","324,759",93.64,93.64,93.64,93.64,93.64,90.72,90.72,90.72,90.72,90.72
Sussex,Frankford,24,5,7,7,5,-,-,15,8,4,-,-,"1,357","1,371","1,272",-,-,"300,091","292,961","293,532","288,515","288,515",81.19,81.19,81.19,81.19,81.19,87.54,87.54,87.54,87.54,87.54
