County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Hudson,East Newark,32,8,9.73,17.83,10.76,14.46,13.67,"1,563","1,684","1,677",-,-,17.15,15.56,13.36,-,-,56.74,58.33,59.33,-,-,1.91,1.91,1.91,1.91,1.91,7.81,7.81,7.81,7.81,7.81,61.39,61.39,61.39,61.39,61.39
Gloucester,Woolwich,3,2,10.37,15.52,20.54,21.23,22.27,"6,497","6,633","7,004",-,-,47.27,50.61,49.34,-,-,7.55,9.45,9.34,-,-,9.97,9.97,9.97,9.97,9.97,6.02,6.02,6.02,6.02,6.02,3.58,3.58,3.58,3.58,3.58
Hudson,Hoboken,33,8,5.14,6.61,7.26,8.75,10.25,"38,417","39,318","40,230",-,-,73.5,74.25,77.49,-,-,14.84,16.02,16.21,-,-,3.53,3.53,3.53,3.53,3.53,7.12,7.12,7.12,7.12,7.12,15.2,15.2,15.2,15.2,15.2
Middlesex,North Brunswick,17,12,3.68,4.29,4.87,4.18,4.66,"28,588","28,691","28,746",-,-,45.42,45.22,45.83,-,-,34.51,34.57,35.13,-,-,17.47,17.47,17.47,17.47,17.47,24.27,24.27,24.27,24.27,24.27,17.73,17.73,17.73,17.73,17.73
Hudson,Guttenberg,32,8,2.26,2.73,4.38,3.95,4.64,"8,410","8,129","8,245",-,-,31.99,30.07,29.96,-,-,59.96,56.4,57.99,-,-,4.8,4.8,4.8,4.8,4.8,7.32,7.32,7.32,7.32,7.32,64.83,64.83,64.83,64.83,64.83
Middlesex,Monroe,14,12,6.46,9.4,12.8,13.98,15.84,"30,546","31,273","32,438",-,-,41.36,42.85,44.75,-,-,17.21,18.26,19.09,-,-,3.92,3.92,3.92,3.92,3.92,12.6,12.6,12.6,12.6,12.6,4.28,4.28,4.28,4.28,4.28
Middlesex,Piscataway,17,6,4.21,5.24,3.61,2.78,3.29,"34,963","34,971","34,654",-,-,46.17,48.57,49.09,-,-,32.27,32.97,31.99,-,-,20.69,20.69,20.69,20.69,20.69,33.45,33.45,33.45,33.45,33.45,11.22,11.22,11.22,11.22,11.22
Hudson,North Bergen,32,8,2.58,3.01,3.65,3.48,4.75,"42,589","43,396","43,057",-,-,24.59,25.42,26.05,-,-,50.79,51.21,49.03,-,-,4.04,4.04,4.04,4.04,4.04,6.55,6.55,6.55,6.55,6.55,68.4,68.4,68.4,68.4,68.4
Middlesex,Perth Amboy,19,6,2.3,2.98,3.68,3.32,3.95,"32,105","32,574","32,646",-,-,15.05,14.76,14.52,-,-,39.44,39.08,40.21,-,-,10.54,10.54,10.54,10.54,10.54,1.69,1.69,1.69,1.69,1.69,78.1,78.1,78.1,78.1,78.1
Hudson,Kearny,32,"8, 9",2.41,2.83,3.57,3.54,4.88,"27,829","27,976","28,406",-,-,19.95,21,22.52,-,-,40.78,41.03,39.92,-,-,5.37,5.37,5.37,5.37,5.37,4.41,4.41,4.41,4.41,4.41,39.95,39.95,39.95,39.95,39.95
Morris,Mendham Twp,25,11,0.51,0.22,0.07,-0.12,-0.41,"3,923","3,867","3,861",-,-,71.68,71.55,72.73,-,-,12.25,11.23,12.93,-,-,1.29,1.29,1.29,1.29,1.29,3.41,3.41,3.41,3.41,3.41,3.6,3.6,3.6,3.6,3.6
Morris,Morris Plains,26,11,3.74,3.63,1.7,1.1,0.89,"4,039","16,078","3,939",-,-,50.95,67.85,56.94,-,-,7.69,11.44,11.5,-,-,2.73,2.73,2.73,2.73,2.73,4.97,4.97,4.97,4.97,4.97,5.68,5.68,5.68,5.68,5.68
Morris,Florham Park,27,11,1.15,1.14,1.19,0.6,0.59,"7,652","7,693","7,629",-,-,61.11,61.82,64.02,-,-,14.34,16.09,16.1,-,-,4.35,4.35,4.35,4.35,4.35,6.37,6.37,6.37,6.37,6.37,5.08,5.08,5.08,5.08,5.08
Morris,Long Hill,21,7,1.26,1.02,0.88,0.48,0.1,"5,952","6,065","6,049",-,-,55.81,57.36,57,-,-,24.91,18.34,17.87,-,-,0.62,0.62,0.62,0.62,0.62,5.98,5.98,5.98,5.98,5.98,7.06,7.06,7.06,7.06,7.06
Morris,Chester,25,7,1.58,1.52,1.58,1.21,0.97,"1,038","1,067","1,097",-,-,56.26,54.17,56.24,-,-,11.61,11.75,12.66,-,-,1.03,1.03,1.03,1.03,1.03,2.3,2.3,2.3,2.3,2.3,13.46,13.46,13.46,13.46,13.46
Morris,Dover,25,7,1.16,0.86,1.04,0.52,0.41,"12,233","12,176","12,262",-,-,13.59,13.72,15.5,-,-,48.13,49.54,47.89,-,-,6.1,6.1,6.1,6.1,6.1,2.54,2.54,2.54,2.54,2.54,69.38,69.38,69.38,69.38,69.38
Morris,Boonton,25,11,0.99,0.78,1.13,0.42,0.08,"5,984","5,855","5,975",-,-,44.87,45.69,48.37,-,-,18.25,19.92,14.95,-,-,4.82,4.82,4.82,4.82,4.82,10.05,10.05,10.05,10.05,10.05,11.02,11.02,11.02,11.02,11.02
Morris,Butler,26,11,1.05,2,2.15,3.18,3.12,"5,447","5,455","5,433",-,-,35.45,33.84,36.59,-,-,18.05,17.77,18.16,-,-,1.11,1.11,1.11,1.11,1.11,3.02,3.02,3.02,3.02,3.02,11.41,11.41,11.41,11.41,11.41
Morris,Mount Arlington,25,7,2.22,3.19,4.95,8.02,16.2,"3,997","2,559","4,082",-,-,37.85,87.07,38.34,-,-,8.15,13.58,10.49,-,-,2.32,2.32,2.32,2.32,2.32,3.58,3.58,3.58,3.58,3.58,8.22,8.22,8.22,8.22,8.22
Morris,Mountain Lakes,25,11,2.62,2.45,3.08,4.13,4.45,"2,481","19,141","2,604",-,-,87.51,42.79,87.29,-,-,14.06,15.89,13.77,-,-,0.36,0.36,0.36,0.36,0.36,7.64,7.64,7.64,7.64,7.64,2.55,2.55,2.55,2.55,2.55
Atlantic,Estell Manor,1,2,0.12,0.06,-0.23,-0.98,-0.86,"1,162","1,194","1,223",-,-,20.14,23.53,24.04,-,-,4.1,3.62,3.01,-,-,0.92,0.92,0.92,0.92,0.92,1.61,1.61,1.61,1.61,1.61,1.04,1.04,1.04,1.04,1.04
Atlantic,Galloway,9,2,0.8,0.63,-0.16,-1.6,-2.1,"23,112","23,541","23,826",-,-,25.86,27.11,27.29,-,-,14.68,13.78,14.37,-,-,11.44,11.44,11.44,11.44,11.44,10.02,10.02,10.02,10.02,10.02,10.05,10.05,10.05,10.05,10.05
Hunterdon,Flemington,16,7,-0.9,2.23,1.31,0.87,0.87,"3,047","3,378","3,363",-,-,31.7,32.09,29.65,-,-,25.2,26.62,30.69,-,-,3.93,3.93,3.93,3.93,3.93,5.81,5.81,5.81,5.81,5.81,26.15,26.15,26.15,26.15,26.15
Atlantic,Egg Harbor Twp,2,2,1.27,1.22,1.29,0.42,-0.06,"28,581","28,566","2,712",-,-,29.23,29.57,11.98,-,-,15.57,16.02,1.28,-,-,9.58,9.58,9.58,9.58,9.58,11.76,11.76,11.76,11.76,11.76,13,13,13,13,13
Hunterdon,Clinton Twp,23,7,-1.31,-2.37,-3.38,-4.63,-4.24,"8,383","8,217","8,008",-,-,56.08,55.62,56.29,-,-,7.3,7.79,7.86,-,-,6.01,6.01,6.01,6.01,6.01,3.9,3.9,3.9,3.9,3.9,5.6,5.6,5.6,5.6,5.6
Hunterdon,East Amwell,15,7,-1.15,-1.37,-2.19,-2.59,-2.19,"2,862","2,847","2,864",-,-,35.64,39.37,35.58,-,-,5.26,6.58,6.7,-,-,1.25,1.25,1.25,1.25,1.25,1.42,1.42,1.42,1.42,1.42,2.82,2.82,2.82,2.82,2.82
Hunterdon,Califon,23,7,-1.49,1.02,0.37,-1.49,-0.74,763,842,829,-,-,61.73,60.21,56.09,-,-,4.88,3.37,3.66,-,-,0.28,0.28,0.28,0.28,0.28,0.84,0.84,0.84,0.84,0.84,1.3,1.3,1.3,1.3,1.3
Atlantic,Margate,2,2,-0.19,-0.33,-1.84,-3.34,-4.27,"5,119","5,296","5,301",-,-,45.89,42.98,46.24,-,-,6.52,9.24,7.96,-,-,0.71,0.71,0.71,0.71,0.71,0.98,0.98,0.98,0.98,0.98,2.75,2.75,2.75,2.75,2.75
Atlantic,Hammonton,8,2,0.05,-0.18,-1.17,-2.45,-2.85,"10,634","10,559","10,452",-,-,20.96,20.13,21.67,-,-,11.53,12.12,11.99,-,-,3,3,3,3,3,1.37,1.37,1.37,1.37,1.37,20.93,20.93,20.93,20.93,20.93
Atlantic,Linwood,2,2,-0.27,-0.56,-1.68,-2.82,-3.34,"4,988","5,015","4,978",-,-,45.47,44.97,43.55,-,-,8.16,6.28,5.74,-,-,0.97,0.97,0.97,0.97,0.97,3.79,3.79,3.79,3.79,3.79,2.96,2.96,2.96,2.96,2.96
Union,Scotch Plains,22,"7, 12",1.98,2.45,2.72,2.88,4.76,"16,186","16,294","16,299",-,-,54.31,52.82,56.13,-,-,17.57,17.46,15.56,-,-,11.08,11.08,11.08,11.08,11.08,7.65,7.65,7.65,7.65,7.65,6.73,6.73,6.73,6.73,6.73
Union,Summit,21,7,2.47,2.86,2.88,2.62,4.04,"14,241","14,682","14,630",-,-,65.94,69.19,70.55,-,-,20.87,20.61,22.08,-,-,4.52,4.52,4.52,4.52,4.52,6.38,6.38,6.38,6.38,6.38,13.29,13.29,13.29,13.29,13.29
Warren,Belvidere,24,5,-1.79,-2.42,-2.76,-2.95,-2.91,"1,838","1,825","1,775",-,-,27.97,30.74,28.11,-,-,1.16,1.85,2.43,-,-,1.57,1.57,1.57,1.57,1.57,0.78,0.78,0.78,0.78,0.78,3.62,3.62,3.62,3.62,3.62
Union,Kenilworth,21,7,2.22,3.02,3.8,3.54,5.03,"5,340","5,524","5,474",-,-,21.44,26.59,26.4,-,-,22.28,23.26,21.88,-,-,2.91,2.91,2.91,2.91,2.91,3.84,3.84,3.84,3.84,3.84,15.52,15.52,15.52,15.52,15.52
Warren,Franklin Twp,23,7,-1.39,-2.02,-2.52,-2.68,-2.71,"2,128","2,161","2,179",-,-,34.26,35.03,31.39,-,-,6.48,7.54,6.54,-,-,1.48,1.48,1.48,1.48,1.48,2.33,2.33,2.33,2.33,2.33,3.84,3.84,3.84,3.84,3.84
Morris,Roxbury,25,7,1.1,0.86,0.8,0.21,0.08,"15,794","16,046","16,115",-,-,42.33,41.79,41.46,-,-,10.69,12.44,13.36,-,-,2.34,2.34,2.34,2.34,2.34,5.77,5.77,5.77,5.77,5.77,8.93,8.93,8.93,8.93,8.93
Union,New Providence,21,7,1.32,2.06,2.45,4.82,9.34,"8,465","8,400","8,237",-,-,60.41,65.2,66.07,-,-,19.93,18.19,17.94,-,-,1.27,1.27,1.27,1.27,1.27,9.78,9.78,9.78,9.78,9.78,6.43,6.43,6.43,6.43,6.43
Union,Hillside,20,10,1.79,2.41,2.71,2.56,4.06,"13,953","14,340","14,722",-,-,22.05,22.7,20.56,-,-,26.52,29.65,29.51,-,-,53.19,53.19,53.19,53.19,53.19,2.73,2.73,2.73,2.73,2.73,17.63,17.63,17.63,17.63,17.63
Union,Linden,22,10,1.98,2.84,3.76,4.83,6.31,"28,648","28,965","28,873",-,-,17.21,18.02,18.73,-,-,32.07,32.95,32.56,-,-,26.88,26.88,26.88,26.88,26.88,2.71,2.71,2.71,2.71,2.71,24.93,24.93,24.93,24.93,24.93
Union,Roselle,20,10,1.73,2.21,2.77,2.56,4.23,"14,770","14,468","14,706",-,-,20.76,18.34,17.13,-,-,29.26,29.62,28.24,-,-,55.06,55.06,55.06,55.06,55.06,2.23,2.23,2.23,2.23,2.23,26.77,26.77,26.77,26.77,26.77
Union,Mountainside,21,7,1.84,2.27,2.99,2.96,4.44,"4,751","4,721","4,731",-,-,59.44,59.39,53.54,-,-,14.21,13.3,14.05,-,-,1.97,1.97,1.97,1.97,1.97,4.94,4.94,4.94,4.94,4.94,6.09,6.09,6.09,6.09,6.09
Union,Rahway,22,10,3.83,4.32,7.91,7.7,10.18,"19,112","19,472","19,945",-,-,24.74,26.03,28.88,-,-,21.76,23.09,23.15,-,-,30.93,30.93,30.93,30.93,30.93,4.3,4.3,4.3,4.3,4.3,23.52,23.52,23.52,23.52,23.52
Union,Plainfield,22,12,1.57,2.3,2.83,1.66,3.05,"32,658","33,014","32,790",-,-,18.48,18.18,18.52,-,-,37.65,39.17,39.45,-,-,50.2,50.2,50.2,50.2,50.2,0.95,0.95,0.95,0.95,0.95,40.37,40.37,40.37,40.37,40.37
Union,Springfield,21,7,6.37,8.7,10.65,10.31,12.07,"12,176","12,496","12,576",-,-,53.41,55.43,55.29,-,-,24.64,22.92,22.68,-,-,6.25,6.25,6.25,6.25,6.25,7.7,7.7,7.7,7.7,7.7,9.5,9.5,9.5,9.5,9.5
Union,Roselle Park,21,10,1.71,2.24,2.81,2.56,3.94,"9,287","9,293","9,216",-,-,28.28,28.21,30.76,-,-,29.93,28.24,27.86,-,-,5.89,5.89,5.89,5.89,5.89,10.18,10.18,10.18,10.18,10.18,28.65,28.65,28.65,28.65,28.65
Union,Westfield,21,7,1.76,1.89,0.77,-0.36,0.39,"19,995","20,171","20,114",-,-,65.77,66.36,67.88,-,-,10.83,10.69,11.64,-,-,3.25,3.25,3.25,3.25,3.25,5.67,5.67,5.67,5.67,5.67,4.92,4.92,4.92,4.92,4.92
Union,Union Twp,20,"7, 10",1.59,2.1,2.62,3.3,4.74,"39,431","39,667","40,332",-,-,31.98,31.8,32.34,-,-,28,28.72,28.1,-,-,28.98,28.98,28.98,28.98,28.98,10.6,10.6,10.6,10.6,10.6,14.94,14.94,14.94,14.94,14.94
Warren,Hackettstown,23,5,-1.2,-1.78,-1.49,-1.8,-1.75,"6,337","6,369","6,267",-,-,25.79,25.72,26.52,-,-,20.08,20.29,21.78,-,-,2.46,2.46,2.46,2.46,2.46,4.97,4.97,4.97,4.97,4.97,15.16,15.16,15.16,15.16,15.16
Warren,Allamuchy,24,5,3.91,5.44,5.39,6.13,7.43,"3,351","3,331","3,332",-,-,52.73,54.16,55.46,-,-,11.32,9.08,8.45,-,-,1.78,1.78,1.78,1.78,1.78,2.73,2.73,2.73,2.73,2.73,4.49,4.49,4.49,4.49,4.49
Atlantic,Weymouth,1,2,0.04,-0.15,1.77,2.69,3.87,"2,161","2,113","2,111",-,-,17.77,20.16,20.84,-,-,9.84,7.44,7.55,-,-,4.75,4.75,4.75,4.75,4.75,0.88,0.88,0.88,0.88,0.88,4.57,4.57,4.57,4.57,4.57
Bergen,Alpine,37,5,2.49,2.43,3.68,1.08,2.22,"1,395","1,283","1,207",-,-,70.47,67.81,69.43,-,-,35.73,31.75,33.93,-,-,2.38,2.38,2.38,2.38,2.38,26.07,26.07,26.07,26.07,26.07,4.81,4.81,4.81,4.81,4.81
Bergen,Bergenfield,38,5,1.6,2.4,3.2,3.3,4.35,"18,627","18,873","18,652",-,-,39.85,36.8,37.25,-,-,37.98,40.69,42.36,-,-,7.7,7.7,7.7,7.7,7.7,25.6,25.6,25.6,25.6,25.6,26.52,26.52,26.52,26.52,26.52
Bergen,Carlstadt,36,9,1.42,1.97,2.48,1.99,3.05,"4,401","4,333","4,424",-,-,29.38,31.36,32.55,-,-,29.78,26.97,26.99,-,-,2.38,2.38,2.38,2.38,2.38,8.23,8.23,8.23,8.23,8.23,18.02,18.02,18.02,18.02,18.02
Atlantic,Mullica,2,2,0.47,0.13,-0.8,-1.72,-2.03,"4,422","4,431","4,367",-,-,17.1,14.94,15.91,-,-,1.96,2.06,2.31,-,-,5.68,5.68,5.68,5.68,5.68,0.68,0.68,0.68,0.68,0.68,17.02,17.02,17.02,17.02,17.02
Atlantic,Pleasantville,2,2,1.34,1.08,2.5,1.2,2.39,"13,008","13,224","13,238",-,-,11.18,10.53,11.38,-,-,24.69,24.95,25.15,-,-,45.94,45.94,45.94,45.94,45.94,2.42,2.42,2.42,2.42,2.42,41.06,41.06,41.06,41.06,41.06
Atlantic,Port Republic,9,2,0.72,0.54,-1.35,-2.69,-3.14,812,820,754,-,-,33.25,34.27,33.02,-,-,9.84,11.44,8.63,-,-,0.63,0.63,0.63,0.63,0.63,0.9,0.9,0.9,0.9,0.9,2.96,2.96,2.96,2.96,2.96
Atlantic,Ventnor,2,2,-0.19,-0.5,-1.54,-3.13,-3.86,"8,195","7,723","7,653",-,-,30.4,27.61,29.81,-,-,27.18,26.96,26.55,-,-,4.25,4.25,4.25,4.25,4.25,8.68,8.68,8.68,8.68,8.68,18.05,18.05,18.05,18.05,18.05
Morris,Pequannock,40,11,0.66,0.17,-0.22,-0.74,-0.84,"11,389","11,551","11,382",-,-,41.81,42.66,42.92,-,-,8.67,8.45,8.57,-,-,0.48,0.48,0.48,0.48,0.48,1.94,1.94,1.94,1.94,1.94,4.52,4.52,4.52,4.52,4.52
Bergen,Closter,39,5,2.05,2.62,3.45,3.97,4.69,"5,626","5,801","5,740",-,-,59.62,59.82,60.16,-,-,34.19,36.73,35.52,-,-,1.31,1.31,1.31,1.31,1.31,31.65,31.65,31.65,31.65,31.65,5.98,5.98,5.98,5.98,5.98
Bergen,Cresskill,37,9,1.6,2.22,2.79,2.38,4.22,"6,088","6,037","6,034",-,-,58.85,57,58.82,-,-,26,30.56,31.39,-,-,0.73,0.73,0.73,0.73,0.73,27.64,27.64,27.64,27.64,27.64,6.26,6.26,6.26,6.26,6.26
Warren,Mansfield,23,5,-1.83,-2.46,-2.89,-3.28,-3.38,"5,513","5,481","5,552",-,-,31.31,30.09,30.69,-,-,14.68,16.3,14.68,-,-,4.89,4.89,4.89,4.89,4.89,3.21,3.21,3.21,3.21,3.21,10.94,10.94,10.94,10.94,10.94
Warren,Oxford,24,5,-1.43,-1.87,-2.19,-2.31,-2.39,"1,749","1,749","1,819",-,-,23.44,25.96,26,-,-,5.91,6.97,5.65,-,-,1.63,1.63,1.63,1.63,1.63,1.51,1.51,1.51,1.51,1.51,3.78,3.78,3.78,3.78,3.78
Warren,Knowlton,24,5,-1.28,-1.93,-2.32,-2.98,-2.72,"2,104","2,082","2,035",-,-,23.48,23.49,26.93,-,-,7.37,6.84,5.27,-,-,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,3.63,3.63,3.63,3.63,3.63
Warren,Lopatcong,23,7,0.4,0.75,2.88,3.19,4.17,"5,573","5,318","5,545",-,-,33.23,33.32,34.17,-,-,9.38,9.94,8.75,-,-,6.03,6.03,6.03,6.03,6.03,4.18,4.18,4.18,4.18,4.18,5.99,5.99,5.99,5.99,5.99
Atlantic,Buena,2,2,0.5,0.15,-1.5,-3.19,-3.78,"3,025","3,160","3,161",-,-,14.12,14.62,15.6,-,-,6.23,5.99,7.77,-,-,9.43,9.43,9.43,9.43,9.43,1.78,1.78,1.78,1.78,1.78,29.42,29.42,29.42,29.42,29.42
Atlantic,Buena Vista,2,2,0.33,0.21,-0.85,-1.44,-1.96,"5,439","5,492","5,261",-,-,15.46,18.06,20.95,-,-,8.92,10.28,8.81,-,-,13.45,13.45,13.45,13.45,13.45,1.06,1.06,1.06,1.06,1.06,11.48,11.48,11.48,11.48,11.48
Atlantic,Absecon,2,2,-0.12,-0.42,-1.12,-1.38,-1.52,"6,094","6,145","6,163",-,-,26.85,28.82,28.82,-,-,12.27,10.64,10.48,-,-,9.89,9.89,9.89,9.89,9.89,7.93,7.93,7.93,7.93,7.93,7.5,7.5,7.5,7.5,7.5
Atlantic,Atlantic City,2,2,-0.02,-0.36,-0.75,-2.08,-2.85,"25,535","25,654","25,377",-,-,15.76,15.63,15.47,-,-,29.07,31.36,32.43,-,-,38.29,38.29,38.29,38.29,38.29,15.55,15.55,15.55,15.55,15.55,30.45,30.45,30.45,30.45,30.45
Bergen,Dumont,39,5,1.59,2.2,2.99,2.24,2.97,"12,350","12,232","12,408",-,-,38.41,39.84,42.88,-,-,28.85,28.11,26.63,-,-,2.55,2.55,2.55,2.55,2.55,14.99,14.99,14.99,14.99,14.99,14.76,14.76,14.76,14.76,14.76
Bergen,Englewood,37,9,1.42,1.93,5.13,4.82,7.24,"19,001","19,525","20,219",-,-,45.81,46.89,47.76,-,-,33.5,32.19,32.63,-,-,32.58,32.58,32.58,32.58,32.58,8.1,8.1,8.1,8.1,8.1,27.48,27.48,27.48,27.48,27.48
Bergen,Englewood Cliffs,37,9,1.38,1.97,2.31,2.37,3.26,"3,894","3,915","3,900",-,-,60.37,61.53,63.92,-,-,42,41.45,42.19,-,-,2.08,2.08,2.08,2.08,2.08,38.52,38.52,38.52,38.52,38.52,5.98,5.98,5.98,5.98,5.98
Bergen,East Rutherford,36,9,9.2,9.93,2.82,10.58,11.39,"6,798","6,858","6,596",-,-,41.34,42.18,48.18,-,-,38.32,35.99,32.46,-,-,4.5,4.5,4.5,4.5,4.5,13.93,13.93,13.93,13.93,13.93,17.54,17.54,17.54,17.54,17.54
Bergen,Elmwood Park,35,9,3.56,5,4.51,4.6,5.29,"13,609","13,903","13,909",-,-,25.49,26.09,28.11,-,-,31.86,32.73,32.36,-,-,5.25,5.25,5.25,5.25,5.25,10.72,10.72,10.72,10.72,10.72,21.22,21.22,21.22,21.22,21.22
Bergen,Garfield,35,9,2.34,3.28,4.31,4.56,6.25,"20,561","20,859","20,949",-,-,18.68,18.92,19.08,-,-,43.2,44.26,41.97,-,-,6.5,6.5,6.5,6.5,6.5,2.22,2.22,2.22,2.22,2.22,32.24,32.24,32.24,32.24,32.24
Bergen,Hackensack,37,5,2.56,3.51,4.24,4.06,5.2,"31,644","31,929","32,345",-,-,32.43,32.48,34.05,-,-,38.9,39.09,39.98,-,-,24.44,24.44,24.44,24.44,24.44,10.3,10.3,10.3,10.3,10.3,35.31,35.31,35.31,35.31,35.31
Monmouth,Roosevelt,12,4,-1.02,-1.13,-1.25,-3.17,-3.17,574,488,547,-,-,42.16,46.11,47.17,-,-,12.01,7.39,7.75,-,-,0.91,0.91,0.91,0.91,0.91,3.17,3.17,3.17,3.17,3.17,5.9,5.9,5.9,5.9,5.9
Bergen,Fairview,32,8,2.91,3.48,4.45,4.24,5.07,"10,146","10,596","10,769",-,-,21.72,21.57,22.34,-,-,52.53,47.32,48.76,-,-,2.94,2.94,2.94,2.94,2.94,4.63,4.63,4.63,4.63,4.63,54.63,54.63,54.63,54.63,54.63
Monmouth,Sea Bright,13,6,-3.75,-4.53,-4.82,-1.77,-1.63,"1,125","1,057","1,112",-,-,48.98,45.13,47.93,-,-,9.97,8.75,9.95,-,-,0.78,0.78,0.78,0.78,0.78,2.27,2.27,2.27,2.27,2.27,5.52,5.52,5.52,5.52,5.52
Bergen,Franklin Lakes,40,5,1.6,2.33,2.92,2.47,6.28,"7,039","7,235","7,553",-,-,67.91,65.96,66.37,-,-,17.73,17.79,18.1,-,-,1.41,1.41,1.41,1.41,1.41,7.34,7.34,7.34,7.34,7.34,4.96,4.96,4.96,4.96,4.96
Monmouth,Ocean Twp,11,4,-0.14,-0.33,-0.68,-2.06,-1.11,"19,003","18,641","19,010",-,-,43.4,42.59,44.3,-,-,17.78,18.81,19.32,-,-,7.96,7.96,7.96,7.96,7.96,6.56,6.56,6.56,6.56,6.56,8.99,8.99,8.99,8.99,8.99
Monmouth,Red Bank,11,4,0.06,1.96,-0.02,-0.38,-0.46,"8,470","8,853","8,807",-,-,36.78,35.86,39.28,-,-,25.33,23.71,25.1,-,-,12.42,12.42,12.42,12.42,12.42,1.85,1.85,1.85,1.85,1.85,34.39,34.39,34.39,34.39,34.39
Bergen,Harrington Park,39,5,1.87,2.51,3.41,3.04,3.9,"3,224","3,146","3,124",-,-,58.25,58.87,62.29,-,-,19.92,20.67,21.52,-,-,0.69,0.69,0.69,0.69,0.69,17.43,17.43,17.43,17.43,17.43,3.49,3.49,3.49,3.49,3.49
Monmouth,Monmouth Beach,13,6,0.34,-0.7,-1.22,-1.74,-1.31,"2,497","2,497","2,418",-,-,58.15,56.07,59.55,-,-,5.3,6.71,7.89,-,-,0.34,0.34,0.34,0.34,0.34,0.73,0.73,0.73,0.73,0.73,1.89,1.89,1.89,1.89,1.89
Monmouth,Neptune City,11,4,-0.62,-0.86,-1.36,-2.71,-3.31,"3,611","20,073","3,478",-,-,24.31,27.95,23.95,-,-,6.2,13.36,7.63,-,-,10.62,10.62,10.62,10.62,10.62,4.46,4.46,4.46,4.46,4.46,10.08,10.08,10.08,10.08,10.08
Warren,Independence,24,5,-1.59,-2.14,-2.38,-2.76,-2.61,"3,949","3,962","3,963",-,-,42.57,34.48,35.6,-,-,7.1,4.52,6.46,-,-,1.22,1.22,1.22,1.22,1.22,2.23,2.23,2.23,2.23,2.23,5.42,5.42,5.42,5.42,5.42
Monmouth,Marlboro,13,6,0.34,2.01,1.19,0.35,0.29,"25,878","26,427","26,459",-,-,59.03,59.13,60.12,-,-,20.57,19.96,19.99,-,-,2.09,2.09,2.09,2.09,2.09,17.27,17.27,17.27,17.27,17.27,4.03,4.03,4.03,4.03,4.03
Warren,Hope,24,5,-1.23,-1.84,-2.1,-3.13,-3.18,"1,286","1,323","1,365",-,-,34.06,34.01,33.92,-,-,7.07,5.8,6.48,-,-,1.18,1.18,1.18,1.18,1.18,1.59,1.59,1.59,1.59,1.59,4.1,4.1,4.1,4.1,4.1
Monmouth,Middletown,13,"4, 6",-0.35,-0.76,-0.75,-1.56,-1.38,"45,801","46,046","45,853",-,-,41.72,43.52,44.11,-,-,6.97,6.88,7.01,-,-,1.31,1.31,1.31,1.31,1.31,2.6,2.6,2.6,2.6,2.6,5.37,5.37,5.37,5.37,5.37
Monmouth,Long Branch,11,6,-1.07,-0.64,0.72,0.14,0.14,"20,723","20,615","20,498",-,-,25.43,28.34,28.42,-,-,29.4,30.14,29.15,-,-,14.21,14.21,14.21,14.21,14.21,2.13,2.13,2.13,2.13,2.13,28.07,28.07,28.07,28.07,28.07
Monmouth,Manasquan,30,4,-2.37,-2.26,-1.39,-1.34,0.1,"4,248","4,250","4,306",-,-,49.98,54.42,54.62,-,-,2.9,1.99,8.54,-,-,0.31,0.31,0.31,0.31,0.31,0.61,0.61,0.61,0.61,0.61,7.02,7.02,7.02,7.02,7.02
Atlantic,Hamilton,2,2,0.94,0.54,1.07,-0.02,-0.36,"17,838","18,136","18,654",-,-,24.59,24.77,26.13,-,-,15.68,15.46,12.75,-,-,18.55,18.55,18.55,18.55,18.55,5.41,5.41,5.41,5.41,5.41,12.79,12.79,12.79,12.79,12.79
Atlantic,Longport,2,2,-1.68,-1.68,-1.01,-2.57,-2.12,886,853,879,-,-,45.15,44.2,45.96,-,-,2.4,2.53,3.6,-,-,0.34,0.34,0.34,0.34,0.34,0.45,0.45,0.45,0.45,0.45,1.12,1.12,1.12,1.12,1.12
Atlantic,Somers Point,2,2,-0.09,-0.36,-0.99,-2.32,-2.92,"7,404","7,442","7,409",-,-,21.64,22.98,23.35,-,-,11.46,10.04,10.9,-,-,10.68,10.68,10.68,10.68,10.68,3.08,3.08,3.08,3.08,3.08,9.49,9.49,9.49,9.49,9.49
Monmouth,Sea Girt,30,4,-0.93,-0.77,-0.93,-2.35,-2.95,"1,369","1,375","1,318",-,-,64.5,65.82,65.63,-,-,3.02,1.46,2.02,-,-,0,0,0,0,0,0.22,0.22,0.22,0.22,0.22,1.64,1.64,1.64,1.64,1.64
