County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Salem,Alloway,3,2,-0.95,-1.41,-2.62,-3.95,-4.04,"2,281","2,333","2,373",-,-,30.29,25.59,24.32,-,-,1.51,2.56,3.01,-,-,5.08,5.08,5.08,5.08,5.08,0.89,0.89,0.89,0.89,0.89,1.96,1.96,1.96,1.96,1.96
Somerset,Bound Brook,23,12,0.82,6.86,0.91,0.51,0.63,"7,193","7,258","7,434",-,-,20.88,19.74,20.9,-,-,34.84,33,28.19,-,-,5.74,5.74,5.74,5.74,5.74,2.57,2.57,2.57,2.57,2.57,48.66,48.66,48.66,48.66,48.66
Somerset,Far Hills,21,7,0.65,0.76,1.2,0.87,0.87,704,762,723,-,-,61.22,62.07,60.44,-,-,16.39,13.9,16.35,-,-,0.65,0.65,0.65,0.65,0.65,1.85,1.85,1.85,1.85,1.85,9.58,9.58,9.58,9.58,9.58
Somerset,Green Brook,22,7,0.72,0.68,0.9,0.14,0.12,"4,955","5,085","5,133",-,-,50.92,52.74,52.29,-,-,20.91,23.28,25.07,-,-,3.37,3.37,3.37,3.37,3.37,20.21,20.21,20.21,20.21,20.21,6.86,6.86,6.86,6.86,6.86
Salem,Penns Grove,3,2,-1.94,-2.72,-3.92,-5.11,-6.14,"3,011","2,961","2,803",-,-,6.08,4.29,3.78,-,-,10.8,16.08,14.63,-,-,39.77,39.77,39.77,39.77,39.77,0.49,0.49,0.49,0.49,0.49,28.27,28.27,28.27,28.27,28.27
Salem,Pittsgrove,3,2,-1.72,-2.38,-3.32,-4.69,-5.63,"6,625","6,603","6,610",-,-,24.74,23.81,24.15,-,-,3.99,4.67,4.59,-,-,6.97,6.97,6.97,6.97,6.97,0.94,0.94,0.94,0.94,0.94,4.8,4.8,4.8,4.8,4.8
Bergen,Emerson,39,5,2.23,2.92,4,3.62,4.57,"5,329","5,318","5,298",-,-,46.41,45,44.45,-,-,17.17,19.66,17.67,-,-,1.08,1.08,1.08,1.08,1.08,8.55,8.55,8.55,8.55,8.55,8.36,8.36,8.36,8.36,8.36
Ocean,Barnegat Twp,9,3,4.67,6.53,5.6,6.46,8.82,"15,240",526,"15,546",-,-,22.49,38.21,23.61,-,-,5.83,9.8,6.39,-,-,3.25,3.25,3.25,3.25,3.25,1.73,1.73,1.73,1.73,1.73,6.78,6.78,6.78,6.78,6.78
Bergen,Little Ferry,36,9,1.69,2.26,3.17,2.81,3.52,"7,729","7,765","7,868",-,-,31.19,30.75,31.55,-,-,43.4,43.74,43.26,-,-,3.94,3.94,3.94,3.94,3.94,24.24,24.24,24.24,24.24,24.24,22.98,22.98,22.98,22.98,22.98
Bergen,River Edge,38,5,1.54,2.11,2.89,2.71,3.39,"7,779","7,866","7,938",-,-,54.93,55.48,54.6,-,-,26.57,27.88,26.97,-,-,1.52,1.52,1.52,1.52,1.52,22.19,22.19,22.19,22.19,22.19,7.66,7.66,7.66,7.66,7.66
Morris,Wharton,25,7,1.46,1.38,1.4,0.84,0.75,"4,609","4,564","4,566",-,-,19.24,18.14,20.15,-,-,33.78,27.7,28.36,-,-,4.57,4.57,4.57,4.57,4.57,5.67,5.67,5.67,5.67,5.67,40.33,40.33,40.33,40.33,40.33
Morris,Victory Gardens,25,11,0.99,0.72,0.79,-0.07,-0.26,998,"1,010",984,-,-,13.83,12.38,11.69,-,-,42.41,40.16,39.36,-,-,16.25,16.25,16.25,16.25,16.25,2.43,2.43,2.43,2.43,2.43,62.96,62.96,62.96,62.96,62.96
Ocean,Berkeley Twp,9,3,1.39,1.68,1.08,1.05,1.19,"34,893","34,453","34,337",-,-,15.14,16.81,16.18,-,-,6.16,6.24,6.72,-,-,1.75,1.75,1.75,1.75,1.75,1.13,1.13,1.13,1.13,1.13,4.92,4.92,4.92,4.92,4.92
Somerset,Manville,16,12,0.77,0.43,0.82,0.83,0.68,"7,536","7,627","7,542",-,-,15.13,13.66,13.5,-,-,18.99,22.11,20.53,-,-,2.72,2.72,2.72,2.72,2.72,1.99,1.99,1.99,1.99,1.99,18.98,18.98,18.98,18.98,18.98
Bergen,Teaneck,37,"5, 9",1.39,2.04,3.01,3.1,3.86,"26,227","26,797","27,024",-,-,56.7,55.45,55.72,-,-,24.49,23.53,24.29,-,-,27.69,27.69,27.69,27.69,27.69,9.11,9.11,9.11,9.11,9.11,16.53,16.53,16.53,16.53,16.53
Ocean,Lakewood,30,4,0.81,2.51,6.91,8.53,10.6,"43,508","43,311","44,597",-,-,24.86,26.5,26.03,-,-,13.02,13.36,13.71,-,-,6.35,6.35,6.35,6.35,6.35,0.84,0.84,0.84,0.84,0.84,17.3,17.3,17.3,17.3,17.3
Somerset,North Plainfield,22,7,0.55,0.42,0.93,0.62,0.57,"14,495","14,600","14,788",-,-,24.33,25.5,24.82,-,-,35.85,38.03,35.91,-,-,18.85,18.85,18.85,18.85,18.85,5.81,5.81,5.81,5.81,5.81,44.21,44.21,44.21,44.21,44.21
Somerset,Raritan,23,7,11.99,17.69,16.71,16.36,16.42,"4,791","4,923","5,014",-,-,31.83,34.73,36.52,-,-,27.43,28.93,28.83,-,-,2.09,2.09,2.09,2.09,2.09,14.29,14.29,14.29,14.29,14.29,16.39,16.39,16.39,16.39,16.39
Ocean,Barnegat Light,9,2,0.52,1.05,0.35,2.26,2.26,506,"15,487",516,-,-,43.48,24.92,45.93,-,-,9.03,6.44,7.3,-,-,1.05,1.05,1.05,1.05,1.05,0,0,0,0,0,1.92,1.92,1.92,1.92,1.92
Ocean,Ocean Gate,9,3,0.7,0.99,-0.05,-0.15,0.5,"1,370","6,710","1,467",-,-,23.58,26.74,24.61,-,-,1.63,5.95,2,-,-,1.34,1.34,1.34,1.34,1.34,0.2,0.2,0.2,0.2,0.2,6.36,6.36,6.36,6.36,6.36
Morris,Washington Twp,25,7,1.12,0.93,1.18,0.87,1.04,"12,630","12,536","12,545",-,-,56.24,55.9,56.72,-,-,8.92,8.18,7.8,-,-,1.39,1.39,1.39,1.39,1.39,3.3,3.3,3.3,3.3,3.3,4.57,4.57,4.57,4.57,4.57
Ocean,Ship Bottom,9,2,0.26,-0.69,-1.82,-1.47,-1.12,886,879,812,-,-,35.67,41.07,43.23,-,-,8.06,4.1,5.14,-,-,1.3,1.3,1.3,1.3,1.3,0.43,0.43,0.43,0.43,0.43,9.17,9.17,9.17,9.17,9.17
Sussex,Andover,24,5,-2.31,-3.14,-4.13,-5.78,-6.44,546,500,505,-,-,29.49,29.8,27.92,-,-,7.35,7.98,7.85,-,-,1.16,1.16,1.16,1.16,1.16,2.15,2.15,2.15,2.15,2.15,7.59,7.59,7.59,7.59,7.59
Bergen,Wyckoff,40,5,1.39,2.05,3.16,3.14,3.75,"11,323","11,284","11,428",-,-,65.36,65.85,63.62,-,-,11.03,11.32,11.61,-,-,0.56,0.56,0.56,0.56,0.56,4.23,4.23,4.23,4.23,4.23,4.41,4.41,4.41,4.41,4.41
Monmouth,Eatontown,11,4,-3.52,-3.56,-3.21,-3.32,-2.62,"8,883","9,080","9,083",-,-,35.82,33.73,34.63,-,-,21.29,22.32,19.76,-,-,12.41,12.41,12.41,12.41,12.41,8.67,8.67,8.67,8.67,8.67,12.36,12.36,12.36,12.36,12.36
Essex,Nutley,28,11,0.6,1.16,1.33,1.06,1.97,"20,984","4,289","20,777",-,-,44.67,68.13,45.18,-,-,19.13,6.65,18.05,-,-,2.21,2.21,2.21,2.21,2.21,9.95,9.95,9.95,9.95,9.95,11.82,11.82,11.82,11.82,11.82
Bergen,Park Ridge,39,5,1.83,2.27,3.17,2.95,3.46,"5,985","6,101","6,107",-,-,48.64,53.27,54.45,-,-,14.09,14.94,14.51,-,-,1.04,1.04,1.04,1.04,1.04,6.07,6.07,6.07,6.07,6.07,7.74,7.74,7.74,7.74,7.74
Bergen,Westwood,39,5,1.53,2.21,3.11,3,3.83,"8,027","7,859","7,815",-,-,45.26,46.84,46.31,-,-,18.87,17.57,20.67,-,-,4.62,4.62,4.62,4.62,4.62,7.38,7.38,7.38,7.38,7.38,11.58,11.58,11.58,11.58,11.58
Bergen,Ridgefield Park,36,9,1.54,2.1,2.93,2.59,3.34,"8,532","8,741","8,820",-,-,31.58,35.81,37.6,-,-,33.22,33.88,33.77,-,-,6.4,6.4,6.4,6.4,6.4,11.48,11.48,11.48,11.48,11.48,36.18,36.18,36.18,36.18,36.18
